Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,2.73E-04,0.011,0.002,,,3.75E-05,,
0.02,2.29E-04,0.009,0.002,0,,3.75E-05,0,
0.04,2.73E-04,0.011,0.002,0,0.982,3.75E-05,0,0.023
0.06,1.86E-04,0.007,0.002,0.039,0.982,3.75E-05,9.38E-04,0.023
0.08,2.29E-04,0.009,0.003,0.039,-0.982,7.50E-05,9.38E-04,-0.023
0.1,3.17E-04,0.013,0.003,0,-0.982,7.50E-05,0,-0.023
0.12,2.73E-04,0.011,0.003,0,0,7.50E-05,0,0
0.14,3.17E-04,0.013,0.003,0,0,7.50E-05,0,0
0.16,3.17E-04,0.013,0.003,0,0,7.50E-05,0,0
0.18,3.17E-04,0.013,0.003,0,0,7.50E-05,0,0
0.2,3.17E-04,0.013,0.003,0,0,7.50E-05,0,0
0.22,2.29E-04,0.009,0.003,0,0,7.50E-05,0,0
0.24,2.73E-04,0.011,0.003,0,0,7.50E-05,0,0
0.26,2.29E-04,0.009,0.003,0,-0.982,7.50E-05,0,-0.023
0.28,2.73E-04,0.011,0.003,-0.039,-2.945,7.50E-05,-9.38E-04,-0.07
0.3,3.17E-04,0.013,0.002,-0.118,-2.945,3.75E-05,-0.003,-0.07
0.32,3.17E-04,0.013,-0.002,-0.157,-2.945,-3.75E-05,-0.004,-0.07
0.34,2.29E-04,0.009,-0.005,-0.236,-3.927,-1.13E-04,-0.006,-0.094
0.36,1.86E-04,0.007,-0.011,-0.314,-2.945,-2.63E-04,-0.008,-0.07
0.38,2.29E-04,0.009,-0.017,-0.353,-2.945,-4.13E-04,-0.008,-0.07
0.4,2.73E-04,0.011,-0.025,-0.432,-3.927,-6.00E-04,-0.01,-0.094
0.42,2.29E-04,0.009,-0.035,-0.511,-3.927,-8.25E-04,-0.012,-0.094
0.44,2.73E-04,0.011,-0.046,-0.589,-3.927,-0.0011,-0.014,-0.094
0.46,3.17E-04,0.013,-0.058,-0.668,-3.927,-0.0014,-0.016,-0.094
0.48,2.29E-04,0.009,-0.072,-0.746,-3.927,-0.0017,-0.018,-0.094
0.5,2.73E-04,0.011,-0.088,-0.825,-2.945,-0.0021,-0.02,-0.07
0.52,2.29E-04,0.009,-0.105,-0.864,-2.945,-0.0025,-0.021,-0.07
0.54,2.29E-04,0.009,-0.123,-0.942,-3.927,-0.0029,-0.022,-0.094
0.56,2.73E-04,0.011,-0.143,-1.021,-2.945,-0.0034,-0.024,-0.07
0.58,3.60E-04,0.014,-0.163,-1.06,-2.945,-0.0039,-0.025,-0.07
0.6,2.29E-04,0.009,-0.185,-1.139,-3.927,-0.0044,-0.027,-0.094
0.62,2.73E-04,0.011,-0.209,-1.217,-3.927,-0.005,-0.029,-0.094
0.64,2.29E-04,0.009,-0.234,-1.296,-2.945,-0.0056,-0.031,-0.07
0.66,2.29E-04,0.009,-0.261,-1.335,-1.963,-0.0062,-0.032,-0.047
0.68,2.73E-04,0.011,-0.287,-1.374,-2.945,-0.0069,-0.033,-0.07
0.7,2.73E-04,0.011,-0.316,-1.453,-3.927,-0.0075,-0.035,-0.094
0.72,3.17E-04,0.013,-0.346,-1.532,-2.945,-0.0083,-0.037,-0.07
0.74,2.73E-04,0.011,-0.377,-1.571,-2.945,-0.009,-0.037,-0.07
0.76,2.29E-04,0.009,-0.408,-1.649,-2.945,-0.0098,-0.039,-0.07
0.78,2.29E-04,0.009,-0.443,-1.689,-1.963,-0.0106,-0.04,-0.047
0.8,3.17E-04,0.013,-0.476,-1.728,-2.945,-0.0114,-0.041,-0.07
0.82,2.29E-04,0.009,-0.512,-1.806,-2.945,-0.0122,-0.043,-0.07
0.84,2.29E-04,0.009,-0.548,-1.846,-1.963,-0.0131,-0.044,-0.047
0.86,2.73E-04,0.011,-0.586,-1.885,-1.963,-0.014,-0.045,-0.047
0.88,2.73E-04,0.011,-0.624,-1.924,-2.945,-0.0149,-0.046,-0.07
0.9,3.17E-04,0.013,-0.663,-2.003,-2.945,-0.0158,-0.048,-0.07
0.92,3.17E-04,0.013,-0.704,-2.042,-1.963,-0.0168,-0.049,-0.047
0.94,2.73E-04,0.011,-0.745,-2.081,-1.963,-0.0178,-0.05,-0.047
0.96,2.29E-04,0.009,-0.787,-2.121,-1.963,-0.0188,-0.051,-0.047
0.98,3.17E-04,0.013,-0.829,-2.16,-1.963,-0.0198,-0.052,-0.047
1,3.17E-04,0.013,-0.873,-2.199,-1.963,-0.0209,-0.052,-0.047
1.02,3.17E-04,0.013,-0.917,-2.238,-1.963,-0.0219,-0.053,-0.047
1.04,2.29E-04,0.009,-0.963,-2.278,-1.963,-0.023,-0.054,-0.047
1.06,2.73E-04,0.011,-1.008,-2.317,-1.963,-0.0241,-0.055,-0.047
1.08,2.73E-04,0.011,-1.056,-2.356,-0.982,-0.0252,-0.056,-0.023
1.1,2.29E-04,0.009,-1.103,-2.356,-0.982,-0.0263,-0.056,-0.023
1.12,2.73E-04,0.011,-1.15,-2.395,-1.963,-0.0275,-0.057,-0.047
1.14,2.73E-04,0.011,-1.199,-2.435,-0.982,-0.0286,-0.058,-0.023
1.16,1.86E-04,0.007,-1.247,-2.435,-0.982,-0.0298,-0.058,-0.023
1.18,2.73E-04,0.011,-1.296,-2.474,-1.963,-0.0309,-0.059,-0.047
1.2,2.73E-04,0.011,-1.346,-2.513,-0.982,-0.0321,-0.06,-0.023
1.22,3.17E-04,0.013,-1.396,-2.513,0,-0.0333,-0.06,2.26E-15
1.24,2.29E-04,0.009,-1.447,-2.513,0,-0.0345,-0.06,0
1.26,2.73E-04,0.011,-1.497,-2.513,-0.982,-0.0357,-0.06,-0.023
1.28,2.73E-04,0.011,-1.547,-2.553,-0.982,-0.0369,-0.061,-0.023
1.3,2.29E-04,0.009,-1.599,-2.553,0,-0.0382,-0.061,0
1.32,3.17E-04,0.013,-1.649,-2.553,0,-0.0394,-0.061,0
1.34,2.29E-04,0.009,-1.701,-2.553,-0.982,-0.0406,-0.061,-0.023
1.36,2.73E-04,0.011,-1.751,-2.592,-1.963,-0.0418,-0.062,-0.047
1.38,2.73E-04,0.011,-1.805,-2.631,0.982,-0.0431,-0.063,0.023
1.4,2.29E-04,0.009,-1.857,-2.553,1.963,-0.0443,-0.061,0.047
1.42,2.73E-04,0.011,-1.907,-2.553,3.55E-13,-0.0455,-0.061,8.50E-15
1.44,2.73E-04,0.011,-1.959,-2.553,4.89E-13,-0.0468,-0.061,8.50E-15
1.46,2.73E-04,0.011,-2.009,-2.553,1.33E-13,-0.048,-0.061,0
1.48,1.86E-04,0.007,-2.061,-2.553,0,-0.0492,-0.061,0
1.5,2.73E-04,0.011,-2.111,-2.553,0,-0.0504,-0.061,0
1.52,3.17E-04,0.013,-2.163,-2.553,0.982,-0.0516,-0.061,0.023
1.54,2.73E-04,0.011,-2.213,-2.513,1.963,-0.0528,-0.06,0.047
1.56,2.29E-04,0.009,-2.264,-2.474,1.963,-0.054,-0.059,0.047
1.58,2.73E-04,0.011,-2.312,-2.435,0,-0.0552,-0.058,0
1.6,3.17E-04,0.013,-2.361,-2.474,0,-0.0564,-0.059,-4.34E-15
1.62,2.29E-04,0.009,-2.411,-2.435,1.963,-0.0576,-0.058,0.047
1.64,2.73E-04,0.011,-2.458,-2.395,0.982,-0.0587,-0.057,0.023
1.66,2.29E-04,0.009,-2.507,-2.395,0.982,-0.0599,-0.057,0.023
1.68,2.73E-04,0.011,-2.554,-2.356,1.963,-0.061,-0.056,0.047
1.7,2.29E-04,0.009,-2.601,-2.317,1.963,-0.0621,-0.055,0.047
1.72,1.86E-04,0.007,-2.647,-2.278,1.963,-0.0632,-0.054,0.047
1.74,2.29E-04,0.009,-2.692,-2.238,1.963,-0.0643,-0.053,0.047
1.76,2.73E-04,0.011,-2.736,-2.199,1.963,-0.0653,-0.052,0.047
1.78,2.73E-04,0.011,-2.78,-2.16,0.982,-0.0664,-0.052,0.023
1.8,2.73E-04,0.011,-2.823,-2.16,0.982,-0.0674,-0.052,0.023
1.82,1.86E-04,0.007,-2.867,-2.121,2.945,-0.0684,-0.051,0.07
1.84,2.29E-04,0.009,-2.908,-2.042,2.945,-0.0694,-0.049,0.07
1.86,2.73E-04,0.011,-2.948,-2.003,1.963,-0.0704,-0.048,0.047
1.88,2.73E-04,0.011,-2.988,-1.963,1.963,-0.0713,-0.047,0.047
1.9,3.17E-04,0.013,-3.027,-1.924,2.945,-0.0723,-0.046,0.07
1.92,2.29E-04,0.009,-3.065,-1.846,3.927,-0.0732,-0.044,0.094
1.94,2.73E-04,0.011,-3.101,-1.767,2.945,-0.074,-0.042,0.07
1.96,3.17E-04,0.013,-3.135,-1.728,0.982,-0.0748,-0.041,0.023
1.98,2.73E-04,0.011,-3.17,-1.728,1.963,-0.0757,-0.041,0.047
2,2.73E-04,0.011,-3.204,-1.649,3.927,-0.0765,-0.039,0.094
2.02,2.73E-04,0.011,-3.236,-1.571,2.945,-0.0773,-0.037,0.07
2.04,2.73E-04,0.011,-3.267,-1.532,1.963,-0.078,-0.037,0.047
2.06,2.29E-04,0.009,-3.297,-1.492,2.945,-0.0787,-0.036,0.07
2.08,2.29E-04,0.009,-3.327,-1.414,3.927,-0.0794,-0.034,0.094
2.1,3.17E-04,0.013,-3.354,-1.335,2.945,-0.0801,-0.032,0.07
2.12,2.73E-04,0.011,-3.38,-1.296,2.945,-0.0807,-0.031,0.07
2.14,1.86E-04,0.007,-3.405,-1.217,2.945,-0.0813,-0.029,0.07
2.16,2.29E-04,0.009,-3.429,-1.178,2.945,-0.0819,-0.028,0.07
2.18,3.17E-04,0.013,-3.453,-1.1,3.927,-0.0824,-0.026,0.094
2.2,2.29E-04,0.009,-3.473,-1.021,3.927,-0.0829,-0.024,0.094
2.22,2.73E-04,0.011,-3.493,-0.942,3.927,-0.0834,-0.022,0.094
2.24,2.29E-04,0.009,-3.511,-0.864,2.945,-0.0838,-0.021,0.07
2.26,2.73E-04,0.011,-3.528,-0.825,1.963,-0.0842,-0.02,0.047
2.28,3.17E-04,0.013,-3.544,-0.785,2.945,-0.0846,-0.019,0.07
2.3,2.73E-04,0.011,-3.559,-0.707,3.927,-0.085,-0.017,0.094
2.32,3.60E-04,0.014,-3.572,-0.628,3.927,-0.0853,-0.015,0.094
2.34,1.86E-04,0.007,-3.585,-0.55,3.927,-0.0856,-0.013,0.094
2.36,2.73E-04,0.011,-3.594,-0.471,2.945,-0.0858,-0.011,0.07
2.38,2.73E-04,0.011,-3.603,-0.432,3.927,-0.086,-0.01,0.094
2.4,3.17E-04,0.013,-3.611,-0.314,4.909,-0.0862,-0.007,0.117
2.42,2.29E-04,0.009,-3.616,-0.236,2.945,-0.0863,-0.006,0.07
2.44,2.73E-04,0.011,-3.621,-0.196,2.945,-0.0864,-0.005,0.07
2.46,2.29E-04,0.009,-3.624,-0.118,2.945,-0.0865,-0.003,0.07
2.48,4.04E-04,0.016,-3.625,-0.079,2.945,-0.0866,-0.002,0.07
2.5,3.17E-04,0.013,-3.627,0,3.927,-0.0866,0,0.094
2.52,2.73E-04,0.011,-3.625,0.079,3.927,-0.0866,0.002,0.094
2.54,2.73E-04,0.011,-3.624,0.157,3.927,-0.0865,0.004,0.094
2.56,2.73E-04,0.011,-3.619,0.236,3.927,-0.0864,0.006,0.094
2.58,2.73E-04,0.011,-3.614,0.314,3.927,-0.0863,0.007,0.094
2.6,3.60E-04,0.014,-3.607,0.393,2.945,-0.0861,0.009,0.07
2.62,2.29E-04,0.009,-3.599,0.432,2.945,-0.0859,0.01,0.07
2.64,2.73E-04,0.011,-3.589,0.511,3.927,-0.0857,0.012,0.094
2.66,3.17E-04,0.013,-3.578,0.589,2.945,-0.0854,0.014,0.07
2.68,2.29E-04,0.009,-3.566,0.628,2.945,-0.0851,0.015,0.07
2.7,2.29E-04,0.009,-3.553,0.707,3.927,-0.0848,0.017,0.094
2.72,2.73E-04,0.011,-3.537,0.785,3.927,-0.0845,0.019,0.094
2.74,3.17E-04,0.013,-3.522,0.864,3.927,-0.0841,0.021,0.094
2.76,2.73E-04,0.011,-3.503,0.942,2.945,-0.0836,0.023,0.07
2.78,2.73E-04,0.011,-3.484,0.982,1.963,-0.0832,0.023,0.047
2.8,2.73E-04,0.011,-3.464,1.021,2.945,-0.0827,0.024,0.07
2.82,2.73E-04,0.011,-3.443,1.1,3.927,-0.0822,0.026,0.094
2.84,3.17E-04,0.013,-3.42,1.178,2.945,-0.0816,0.028,0.07
2.86,3.17E-04,0.013,-3.396,1.217,2.945,-0.0811,0.029,0.07
2.88,3.17E-04,0.013,-3.371,1.296,3.927,-0.0805,0.031,0.094
2.9,2.29E-04,0.009,-3.344,1.374,2.945,-0.0798,0.033,0.07
2.92,2.73E-04,0.011,-3.316,1.414,1.963,-0.0792,0.034,0.047
2.94,2.73E-04,0.011,-3.288,1.453,2.945,-0.0785,0.035,0.07
2.96,2.29E-04,0.009,-3.258,1.532,2.945,-0.0778,0.037,0.07
2.98,2.29E-04,0.009,-3.226,1.571,2.945,-0.077,0.037,0.07
3,2.29E-04,0.009,-3.195,1.649,3.927,-0.0763,0.039,0.094
3.02,2.29E-04,0.009,-3.16,1.728,1.963,-0.0755,0.041,0.047
3.04,3.17E-04,0.013,-3.126,1.728,0.982,-0.0746,0.041,0.023
3.06,1.86E-04,0.007,-3.091,1.767,2.945,-0.0738,0.042,0.07
3.08,3.17E-04,0.013,-3.055,1.846,2.945,-0.0729,0.044,0.07
3.1,3.17E-04,0.013,-3.018,1.885,0.982,-0.072,0.045,0.023
3.12,2.29E-04,0.009,-2.98,1.885,1.963,-0.0711,0.045,0.047
3.14,2.29E-04,0.009,-2.942,1.963,2.945,-0.0702,0.047,0.07
3.16,3.17E-04,0.013,-2.901,2.003,1.963,-0.0693,0.048,0.047
3.18,3.60E-04,0.014,-2.862,2.042,1.963,-0.0683,0.049,0.047
3.2,2.73E-04,0.011,-2.82,2.081,0.982,-0.0673,0.05,0.023
3.22,3.17E-04,0.013,-2.779,2.081,1.963,-0.0663,0.05,0.047
3.24,3.17E-04,0.013,-2.736,2.16,2.945,-0.0653,0.052,0.07
3.26,2.73E-04,0.011,-2.692,2.199,0.982,-0.0643,0.052,0.023
3.28,2.73E-04,0.011,-2.648,2.199,0.982,-0.0632,0.052,0.023
3.3,3.17E-04,0.013,-2.604,2.238,1.963,-0.0622,0.053,0.047
3.32,2.29E-04,0.009,-2.559,2.278,0.982,-0.0611,0.054,0.023
3.34,2.29E-04,0.009,-2.513,2.278,0.982,-0.06,0.054,0.023
3.36,2.29E-04,0.009,-2.468,2.317,1.963,-0.0589,0.055,0.047
3.38,2.73E-04,0.011,-2.421,2.356,0.982,-0.0578,0.056,0.023
3.4,3.17E-04,0.013,-2.373,2.356,0,-0.0567,0.056,0
3.42,2.29E-04,0.009,-2.326,2.356,0,-0.0555,0.056,0
3.44,2.29E-04,0.009,-2.279,2.356,0.982,-0.0544,0.056,0.023
3.46,3.17E-04,0.013,-2.232,2.395,0.982,-0.0533,0.057,0.023
3.48,3.17E-04,0.013,-2.183,2.395,0,-0.0521,0.057,0
3.5,2.29E-04,0.009,-2.136,2.395,0.982,-0.051,0.057,0.023
3.52,2.73E-04,0.011,-2.088,2.435,0.982,-0.0498,0.058,0.023
3.54,2.73E-04,0.011,-2.039,2.435,0,-0.0487,0.058,0
3.56,2.73E-04,0.011,-1.99,2.435,0,-0.0475,0.058,0
3.58,3.17E-04,0.013,-1.942,2.435,0,-0.0464,0.058,0
3.6,3.60E-04,0.014,-1.893,2.435,-0.982,-0.0452,0.058,-0.023
3.62,3.17E-04,0.013,-1.844,2.395,-0.982,-0.044,0.057,-0.023
3.64,2.29E-04,0.009,-1.797,2.395,0.982,-0.0429,0.057,0.023
3.66,3.17E-04,0.013,-1.748,2.435,0.982,-0.0417,0.058,0.023
3.68,2.29E-04,0.009,-1.7,2.435,-0.982,-0.0406,0.058,-0.023
3.7,2.73E-04,0.011,-1.651,2.395,-1.963,-0.0394,0.057,-0.047
3.72,2.29E-04,0.009,-1.604,2.356,-0.982,-0.0383,0.056,-0.023
3.74,2.73E-04,0.011,-1.557,2.356,0,-0.0372,0.056,0
3.76,2.29E-04,0.009,-1.51,2.356,0,-0.036,0.056,0
3.78,2.73E-04,0.011,-1.462,2.356,-0.982,-0.0349,0.056,-0.023
3.8,2.29E-04,0.009,-1.415,2.317,-1.963,-0.0338,0.055,-0.047
3.82,2.73E-04,0.011,-1.37,2.278,-0.982,-0.0327,0.054,-0.023
3.84,3.17E-04,0.013,-1.324,2.278,6.33E-13,-0.0316,0.054,1.51E-14
3.86,2.73E-04,0.011,-1.279,2.278,-0.982,-0.0305,0.054,-0.023
3.88,3.17E-04,0.013,-1.233,2.238,-2.945,-0.0294,0.053,-0.07
3.9,3.17E-04,0.013,-1.189,2.16,-1.963,-0.0284,0.052,-0.047
3.92,2.29E-04,0.009,-1.147,2.16,0,-0.0274,0.052,0
3.94,2.73E-04,0.011,-1.103,2.16,-1.963,-0.0263,0.052,-0.047
3.96,2.73E-04,0.011,-1.06,2.081,-1.963,-0.0253,0.05,-0.047
3.98,2.29E-04,0.009,-1.019,2.081,-0.982,-0.0243,0.05,-0.023
4,3.60E-04,0.014,-0.977,2.042,-2.945,-0.0233,0.049,-0.07
4.02,3.17E-04,0.013,-0.938,1.963,-1.963,-0.0224,0.047,-0.047
4.04,4.04E-04,0.016,-0.898,1.963,-0.982,-0.0215,0.047,-0.023
4.06,3.17E-04,0.013,-0.859,1.924,-1.963,-0.0205,0.046,-0.047
4.08,1.86E-04,0.007,-0.822,1.885,-2.945,-0.0196,0.045,-0.07
4.1,3.17E-04,0.013,-0.784,1.806,-2.945,-0.0187,0.043,-0.07
4.12,2.29E-04,0.009,-0.749,1.767,-0.982,-0.0179,0.042,-0.023
4.14,2.29E-04,0.009,-0.713,1.767,-1.963,-0.017,0.042,-0.047
4.16,3.17E-04,0.013,-0.679,1.689,-3.927,-0.0162,0.04,-0.094
4.18,3.17E-04,0.013,-0.646,1.61,-2.945,-0.0154,0.038,-0.07
4.2,3.17E-04,0.013,-0.614,1.571,-1.963,-0.0147,0.037,-0.047
4.22,3.17E-04,0.013,-0.583,1.532,-1.963,-0.0139,0.037,-0.047
4.24,4.04E-04,0.016,-0.553,1.492,-1.963,-0.0132,0.036,-0.047
4.26,3.60E-04,0.014,-0.523,1.453,-2.945,-0.0125,0.035,-0.07
4.28,2.73E-04,0.011,-0.495,1.374,-3.927,-0.0118,0.033,-0.094
4.3,3.17E-04,0.013,-0.468,1.296,-2.945,-0.0112,0.031,-0.07
4.32,3.17E-04,0.013,-0.443,1.257,-2.945,-0.0106,0.03,-0.07
4.34,2.29E-04,0.009,-0.418,1.178,-3.927,-0.01,0.028,-0.094
4.36,2.73E-04,0.011,-0.396,1.1,-1.963,-0.0095,0.026,-0.047
4.38,2.73E-04,0.011,-0.374,1.1,-1.963,-0.0089,0.026,-0.047
4.4,2.73E-04,0.011,-0.352,1.021,-3.927,-0.0084,0.024,-0.094
4.42,3.60E-04,0.014,-0.333,0.942,-2.945,-0.008,0.022,-0.07
4.44,2.73E-04,0.011,-0.314,0.903,-2.945,-0.0075,0.022,-0.07
4.46,3.17E-04,0.013,-0.297,0.825,-3.927,-0.0071,0.02,-0.094
4.48,3.17E-04,0.013,-0.281,0.746,-2.945,-0.0067,0.018,-0.07
4.5,3.60E-04,0.014,-0.267,0.707,-2.945,-0.0064,0.017,-0.07
4.52,2.29E-04,0.009,-0.253,0.628,-3.927,-0.006,0.015,-0.094
4.54,3.17E-04,0.013,-0.242,0.55,-2.945,-0.0058,0.013,-0.07
4.56,2.73E-04,0.011,-0.231,0.511,-2.945,-0.0055,0.012,-0.07
4.58,3.17E-04,0.013,-0.221,0.432,-3.927,-0.0053,0.01,-0.094
4.6,3.17E-04,0.013,-0.214,0.353,-2.945,-0.0051,0.008,-0.07
4.62,3.17E-04,0.013,-0.207,0.314,-2.945,-0.005,0.007,-0.07
4.64,2.73E-04,0.011,-0.201,0.236,-3.927,-0.0048,0.006,-0.094
4.66,3.17E-04,0.013,-0.198,0.157,-2.945,-0.0047,0.004,-0.07
4.68,3.17E-04,0.013,-0.195,0.118,-2.945,-0.0047,0.003,-0.07
4.7,3.17E-04,0.013,-0.193,0.039,-3.927,-0.0046,9.38E-04,-0.094
4.72,3.17E-04,0.013,-0.193,-0.039,-3.927,-0.0046,-9.38E-04,-0.094
4.74,3.60E-04,0.014,-0.195,-0.118,-2.945,-0.0047,-0.003,-0.07
4.76,3.60E-04,0.014,-0.198,-0.157,-2.945,-0.0047,-0.004,-0.07
4.78,3.60E-04,0.014,-0.201,-0.236,-3.927,-0.0048,-0.006,-0.094
4.8,3.60E-04,0.014,-0.207,-0.314,-2.945,-0.005,-0.007,-0.07
4.82,3.17E-04,0.013,-0.214,-0.353,-2.945,-0.0051,-0.008,-0.07
4.84,3.17E-04,0.013,-0.221,-0.432,-3.927,-0.0053,-0.01,-0.094
4.86,3.60E-04,0.014,-0.231,-0.511,-3.927,-0.0055,-0.012,-0.094
4.88,3.17E-04,0.013,-0.242,-0.589,-2.945,-0.0058,-0.014,-0.07
4.9,4.04E-04,0.016,-0.254,-0.628,-1.963,-0.0061,-0.015,-0.047
4.92,3.17E-04,0.013,-0.267,-0.668,-3.927,-0.0064,-0.016,-0.094
4.94,2.29E-04,0.009,-0.281,-0.785,-4.909,-0.0067,-0.019,-0.117
4.96,3.60E-04,0.014,-0.298,-0.864,-1.963,-0.0071,-0.021,-0.047
4.98,3.60E-04,0.014,-0.316,-0.864,-1.963,-0.0075,-0.021,-0.047
5,3.17E-04,0.013,-0.333,-0.942,-3.927,-0.008,-0.022,-0.094
5.02,3.60E-04,0.014,-0.353,-1.021,-2.945,-0.0084,-0.024,-0.07
5.04,3.17E-04,0.013,-0.374,-1.06,-2.945,-0.0089,-0.025,-0.07
5.06,3.17E-04,0.013,-0.396,-1.139,-2.945,-0.0095,-0.027,-0.07
5.08,2.73E-04,0.011,-0.419,-1.178,-1.963,-0.01,-0.028,-0.047
5.1,3.17E-04,0.013,-0.443,-1.217,-2.945,-0.0106,-0.029,-0.07
5.12,3.17E-04,0.013,-0.468,-1.296,-3.927,-0.0112,-0.031,-0.094
5.14,3.60E-04,0.014,-0.495,-1.374,-2.945,-0.0118,-0.033,-0.07
5.16,3.17E-04,0.013,-0.523,-1.414,-1.963,-0.0125,-0.034,-0.047
5.18,3.60E-04,0.014,-0.551,-1.453,-2.945,-0.0132,-0.035,-0.07
5.2,3.17E-04,0.013,-0.581,-1.532,-2.945,-0.0139,-0.037,-0.07
5.22,3.17E-04,0.013,-0.613,-1.571,-1.963,-0.0146,-0.038,-0.047
5.24,3.60E-04,0.014,-0.644,-1.61,-2.945,-0.0154,-0.038,-0.07
5.26,4.04E-04,0.016,-0.677,-1.689,-2.945,-0.0162,-0.04,-0.07
5.28,3.17E-04,0.013,-0.712,-1.728,-1.963,-0.017,-0.041,-0.047
5.3,4.04E-04,0.016,-0.746,-1.767,-1.963,-0.0178,-0.042,-0.047
5.32,3.17E-04,0.013,-0.782,-1.806,-1.963,-0.0187,-0.043,-0.047
5.34,4.48E-04,0.018,-0.818,-1.846,-1.963,-0.0195,-0.044,-0.047
5.36,3.17E-04,0.013,-0.856,-1.885,-1.963,-0.0204,-0.045,-0.047
5.38,3.60E-04,0.014,-0.894,-1.924,-1.963,-0.0213,-0.046,-0.047
5.4,3.60E-04,0.014,-0.933,-1.963,-1.963,-0.0223,-0.047,-0.047
5.42,4.04E-04,0.016,-0.972,-2.003,-1.963,-0.0232,-0.048,-0.047
5.44,3.17E-04,0.013,-1.013,-2.042,-0.982,-0.0242,-0.049,-0.023
5.46,3.60E-04,0.014,-1.054,-2.042,-0.982,-0.0252,-0.049,-0.023
5.48,3.17E-04,0.013,-1.095,-2.081,-1.963,-0.0261,-0.05,-0.047
5.5,3.17E-04,0.013,-1.137,-2.121,-1.963,-0.0272,-0.051,-0.047
5.52,3.17E-04,0.013,-1.18,-2.16,-1.963,-0.0282,-0.052,-0.047
5.54,3.60E-04,0.014,-1.224,-2.199,-0.982,-0.0292,-0.052,-0.023
5.56,4.04E-04,0.016,-1.268,-2.199,-0.982,-0.0303,-0.052,-0.023
5.58,4.04E-04,0.016,-1.312,-2.238,-1.963,-0.0313,-0.053,-0.047
5.6,3.17E-04,0.013,-1.357,-2.278,-0.982,-0.0324,-0.054,-0.023
5.62,3.17E-04,0.013,-1.403,-2.278,0,-0.0335,-0.054,0
5.64,3.60E-04,0.014,-1.448,-2.278,1.27E-12,-0.0346,-0.054,3.02E-14
5.66,3.60E-04,0.014,-1.494,-2.278,-0.982,-0.0357,-0.054,-0.023
5.68,3.60E-04,0.014,-1.539,-2.317,-0.982,-0.0368,-0.055,-0.023
5.7,2.73E-04,0.011,-1.587,-2.317,0,-0.0379,-0.055,0
5.72,2.73E-04,0.011,-1.632,-2.317,-0.982,-0.039,-0.055,-0.023
5.74,3.60E-04,0.014,-1.679,-2.356,-0.982,-0.0401,-0.056,-0.023
5.76,3.60E-04,0.014,-1.726,-2.356,0,-0.0412,-0.056,0
5.78,3.60E-04,0.014,-1.773,-2.356,2.62E-12,-0.0423,-0.056,6.25E-14
5.8,4.04E-04,0.016,-1.821,-2.356,0,-0.0435,-0.056,0
5.82,3.60E-04,0.014,-1.868,-2.356,-1.31E-12,-0.0446,-0.056,-3.12E-14
5.84,3.60E-04,0.014,-1.915,-2.356,0,-0.0457,-0.056,0
5.86,4.04E-04,0.016,-1.962,-2.356,-1.44E-13,-0.0468,-0.056,0
5.88,3.60E-04,0.014,-2.009,-2.356,0.982,-0.048,-0.056,0.023
5.9,3.17E-04,0.013,-2.056,-2.317,0.982,-0.0491,-0.055,0.023
5.92,3.60E-04,0.014,-2.102,-2.317,0,-0.0502,-0.055,0
5.94,3.60E-04,0.014,-2.149,-2.317,2.57E-12,-0.0513,-0.055,6.14E-14
5.96,3.17E-04,0.013,-2.194,-2.317,0,-0.0524,-0.055,0
5.98,4.48E-04,0.018,-2.242,-2.317,0.982,-0.0535,-0.055,0.023
6,3.60E-04,0.014,-2.287,-2.278,1.963,-0.0546,-0.054,0.047
6.02,4.48E-04,0.018,-2.333,-2.238,1.963,-0.0557,-0.053,0.047
6.04,4.04E-04,0.016,-2.377,-2.199,0.982,-0.0567,-0.053,0.023
6.06,3.60E-04,0.014,-2.421,-2.199,-1.22E-12,-0.0578,-0.053,-2.91E-14
6.08,3.60E-04,0.014,-2.465,-2.199,0.982,-0.0588,-0.053,0.023
6.1,3.60E-04,0.014,-2.509,-2.16,1.963,-0.0599,-0.052,0.047
6.12,4.04E-04,0.016,-2.551,-2.121,0.982,-0.0609,-0.051,0.023
6.14,3.60E-04,0.014,-2.593,-2.121,0.982,-0.0619,-0.051,0.023
6.16,4.04E-04,0.016,-2.636,-2.081,2.945,-0.0629,-0.05,0.07
6.18,3.60E-04,0.014,-2.677,-2.003,1.963,-0.0639,-0.048,0.047
6.2,4.04E-04,0.016,-2.716,-2.003,0.982,-0.0648,-0.048,0.023
6.22,3.60E-04,0.014,-2.757,-1.963,2.945,-0.0658,-0.047,0.07
6.24,3.60E-04,0.014,-2.794,-1.885,1.963,-0.0667,-0.045,0.047
6.26,4.04E-04,0.016,-2.832,-1.885,0,-0.0676,-0.045,0
6.28,3.60E-04,0.014,-2.87,-1.885,1.963,-0.0685,-0.045,0.047
6.3,4.48E-04,0.018,-2.908,-1.806,3.927,-0.0694,-0.043,0.094
6.32,4.04E-04,0.016,-2.942,-1.728,1.963,-0.0702,-0.041,0.047
6.34,3.60E-04,0.014,-2.977,-1.728,0.982,-0.0711,-0.041,0.023
